Wavelength,FluxDensity,eFluxDensity
844.694307800422,1.69350408634111E-28,4.16762312335808E-30
883.696416022488,2.98996599368141E-28,3.99112493267787E-30
934.645115952214,4.0169669764332E-28,2.03850802219235E-29
1071.67955024596,1.07504402289949E-27,1.4886643836102E-29
1182.36120871398,1.41434902322101E-27,1.47137168296774E-29
1361.56008432888,4.4200405019021E-27,5.92708964599713E-29
1372.97962052003,4.37790415037095E-27,4.69842362439944E-29
1400.21082220661,3.53986936801601E-27,4.62843874757653E-29
1602.2487702038,5.4143490332951E-27,7.99635027868897E-29
1610.8573436402,5.21370253274707E-27,5.59019976722444E-29
2169.71187631764,8.36543091638139E-27,4.92119584792671E-28
2203.09205903022,8.58072697746368E-27,1.76593566542386E-28
2919.88756148981,1.18768140409873E-26,6.14306082516289E-28
3775.47434996486,1.38175422977104E-26,2.76421668017345E-28
3793.04286718201,1.45187910522785E-26,8.10105997386615E-28
5885.4532677442,1.77303283431354E-26,4.71686787357149E-28
8081.51791988756,1.57249870135543E-26,4.2912115909718E-28
20309.2059030218,3.43164941057435E-26,1.65382888363905E-27
38826.4230498946,9.01907704302631E-26,1.11287847352107E-26
