Wavelength,Flux,eFlux
960.430539077734,5.24195955872026E-17,7.22528051817091E-18
960.918157671016,6.37869831974823E-17,6.99942184559801E-18
961.075641072705,3.54645267025379E-17,6.59434586142648E-18
961.23677386122,5.05706584570488E-17,6.56619840448895E-18
961.391157768904,6.38074649597878E-17,7.13550400046365E-18
961.556209738489,4.99329757047347E-17,6.3155930005091E-18
962.517367683557,4.01943231778776E-17,6.16219734204201E-18
962.682604612745,3.59461120454575E-17,5.54094478119812E-18
962.841673419343,5.35524265390545E-17,6.60372746775334E-18
962.996487179294,1.15073577268666E-16,6.69908605174947E-18
963.152511031089,7.46964041621948E-17,6.43320813012224E-18
963.313184382632,3.84308223664475E-17,6.94162222166908E-18
963.801645573698,8.30826979120885E-17,7.17159403197953E-18
963.963625062377,4.09336625429218E-17,7.22262481990615E-18
964.123899947486,4.16580806644397E-17,6.95490941711899E-18
964.287328698424,7.52991423255687E-17,7.33104659921063E-18
964.926978934476,6.36050954295371E-17,6.98317544298403E-18
966.70407046411,4.01658400012783E-17,6.63942628988528E-18
966.86406218746,3.66121956199598E-17,6.99859413652467E-18
967.024716790835,7.05968049096502E-17,6.70382443781376E-18
967.180736197246,4.07400223579993E-17,7.14060073224011E-18
967.34739304561,3.65496607801869E-17,6.47054896261602E-18
968.158188838482,4.05033323769754E-17,6.6774322634179E-18
970.412092976847,3.94052517191787E-17,6.78731481858758E-18
971.063988244057,7.39627751627976E-17,6.35140194558774E-18
971.227054573327,8.55545597924009E-17,6.90842979443872E-18
971.385483517818,8.86625703618568E-17,6.44999201398711E-18
971.545306267215,9.62593505399882E-17,6.58098261761158E-18
971.712228425797,1.11950563462283E-16,6.3892565865772E-18
971.882590988018,9.52751184125859E-17,6.37322603998057E-18
972.042242295017,5.13283313279719E-17,6.39175398862454E-18
972.357307405715,2.94070904406634E-17,5.69973359407133E-18
972.527062301248,6.20414234195404E-17,6.01308778130782E-18
972.847306015349,7.4814122876747E-17,5.84045773110199E-18
973.015275467158,3.6371542133879E-17,5.88828583300014E-18
973.168677879519,7.12969378218405E-17,5.9159714020538E-18
973.9829323973,4.43084774258426E-17,5.36226037658278E-18
974.145860676539,9.45218831191423E-17,5.77100650798537E-18
974.307724548807,4.60463677509779E-17,5.18261772919958E-18
974.466054856734,6.39524719003368E-17,5.542794084236E-18
974.629306533485,5.84103080285829E-17,5.08080253248777E-18
974.790901156532,5.76017926045947E-17,5.20941381442435E-18
974.94739101366,7.90772491566551E-17,5.42255808903981E-18
975.110869151111,9.91937557934835E-17,6.39215690606419E-18
975.275452246603,7.58065392682296E-17,5.74305388047648E-18
975.451085856485,4.52919095097985E-17,5.34337852519881E-18
975.767449442046,5.83993960403679E-17,5.24056221724636E-18
975.932446624122,7.09286105826156E-17,5.72834512539803E-18
976.094535057677,4.5047666306896E-17,5.31191600297684E-18
981.819523654758,2.14057920991952E-17,3.15109634288125E-18
981.976633682116,4.69613823278638E-17,3.24655184943104E-18
982.13569316825,3.4153599418338E-17,3.20816156655548E-18
982.294351217273,3.45363806760972E-17,3.16879956556832E-18
982.463392223736,2.97805890516558E-17,2.95469007650654E-18
982.628811496588,4.52907786396128E-17,3.19120480436456E-18
982.798318638191,6.39808699178883E-17,3.1321874789055E-18
982.960009883443,8.98964673747558E-17,3.37826679402247E-18
983.120387269122,7.47376763335012E-17,3.12580958824963E-18
983.280954104505,2.64260701377776E-17,3.00036579060773E-18
983.611477332957,2.07218661767721E-17,2.92812267877367E-18
983.779370488876,3.31559352723117E-17,2.79005357977983E-18
984.269894150387,1.30693571388548E-17,2.54253186230898E-18
984.595816023664,3.17451451062235E-17,2.6934031534377E-18
984.763900399514,5.18074081299686E-17,2.8026391438688E-18
984.926063871208,5.77995013869817E-17,2.96887929019591E-18
985.092205510361,7.71809547184248E-17,2.82795722819438E-18
985.25801028477,9.32748125160515E-17,3.01405267619468E-18
985.4219408556,1.17378676273188E-16,2.9210072896023E-18
985.591396751595,1.01040491666961E-16,3.00118933832437E-18
985.745499966916,2.53662584258493E-17,2.58533083961841E-18
986.731499610649,1.99370536438913E-17,2.24872450335703E-18
986.902496421162,4.80158331240371E-17,2.33116383986532E-18
987.392437250946,2.0336787937117E-17,2.25294514017514E-18
987.560547945771,1.5208571156181E-17,2.07974171745167E-18
987.719309674267,3.19767167665478E-17,2.33308599914624E-18
987.887615266345,5.98338749056112E-17,2.30931539202916E-18
988.056083542771,1.43976948127367E-17,2.13223534421093E-18
988.376704515063,4.05470591941506E-17,2.24066531523844E-18
988.5385106051,5.46464269255464E-17,2.1950884975941E-18
988.713348886789,1.29542334024168E-16,2.55681195563556E-18
988.882230735466,1.12951123463166E-16,2.63467507839339E-18
989.049121587691,2.7935726757156E-17,2.02590074456992E-18
989.366541719375,2.88014421973073E-17,2.02320784237746E-18
989.539714363389,6.99737962103122E-17,2.22404043430633E-18
989.704104217378,1.12368698743931E-16,2.56983520778463E-18
989.868613864858,1.28536067157562E-16,2.45679663061715E-18
990.03053515438,1.35820659490143E-16,2.60508163937583E-18
990.202102476693,5.72515253545395E-17,2.09879780832699E-18
990.351139663615,4.46609032426216E-17,2.04807253550448E-18
990.529138983881,1.16748951320623E-16,2.41635976408373E-18
990.706323339523,1.32106440279782E-17,1.79038548523575E-18
991.016114273324,9.10863431930228E-17,2.23857872511688E-18
991.192269822419,1.2015741219397E-16,2.41104370465885E-18
991.366585493303,4.81914406869956E-17,1.95224486399942E-18
991.685406990998,1.24870787430235E-17,1.65718997877334E-18
992.007206126287,2.49425459587514E-17,1.867728735915E-18
992.185109917052,1.0647342000125E-16,2.21086041520299E-18
992.348341745811,9.95489308273243E-17,2.23674100837681E-18
992.523783482677,7.27387093730457E-17,2.00968028396284E-18
992.679019305186,5.0731309956412E-17,1.94774433559858E-18
992.850172999788,5.38315442066801E-17,1.87800051420487E-18
993.010464372416,2.04775836253303E-17,1.80441935156911E-18
993.501051872771,2.49649996822252E-17,1.6741944226101E-18
993.683608861085,3.53179062802663E-17,1.75125157701451E-18
993.840653003709,1.00755364501314E-17,1.7592256339633E-18
993.995820567321,6.64839596493937E-17,1.87453301411163E-18
994.172230493486,1.24705031935584E-16,2.22467663581047E-18
994.340472681144,1.2901061934297E-16,2.12311088906404E-18
994.514873402103,2.19682592584274E-17,1.64355519917085E-18
994.994109154612,3.88092669253918E-17,1.73378259736137E-18
995.167557520207,2.22530036248719E-17,1.6720782590961E-18
995.500465567669,1.05569591305717E-17,1.6148877039429E-18
995.985006605202,2.45240455772569E-17,1.65177691293586E-18
996.15512520192,2.03134869565532E-17,1.65127967957393E-18
996.31829916424,1.03209970453783E-16,2.1026658096581E-18
996.494035699351,1.08454640451295E-16,2.10758171483257E-18
996.662453587706,8.41850245854766E-17,1.98766302140801E-18
996.82442472378,8.15537958968262E-17,1.98981651803319E-18
996.995207821249,1.08024501709544E-16,2.11711588491425E-18
997.154222503353,1.51672826045112E-16,2.35696970710481E-18
997.323606780009,1.70236838317302E-16,2.29630160763746E-18
997.498371089383,1.48306405901891E-16,2.28134038102772E-18
997.661150406905,1.21080575955998E-16,2.16940972522869E-18
997.831647394349,1.24326670838224E-16,2.1793952418581E-18
997.997859173732,1.02113842025579E-16,2.07493192709796E-18
998.169539417396,2.03371307330492E-17,1.63661913684563E-18
998.321434985405,1.97184262184547E-17,1.68485925348527E-18
998.486654131246,8.35768370773891E-17,1.91326998207795E-18
998.656934216517,1.37321454449785E-16,2.27094430379905E-18
998.827647709402,9.19911168564719E-17,1.9690319559922E-18
998.988342546432,7.34444759760731E-17,1.98404917341869E-18
999.150306046554,1.26499794089814E-16,2.13362474876045E-18
999.322426771744,1.41685610688145E-16,2.30666209843791E-18
999.486069774416,1.2395464911684E-16,2.10367757323951E-18
999.664193929413,1.20076588729176E-16,2.08409758767222E-18
999.825602736145,5.72406007820849E-17,1.92801183534132E-18
999.988707852176,1.29248718419339E-16,2.13939845047973E-18
1000.1572101359,1.18496593772411E-16,2.22632838223291E-18
1000.32080255166,1.13775424087944E-16,2.08329157725632E-18
1000.50106745243,7.42867706491449E-17,1.92809796604216E-18
1000.6565475922,1.99487400495276E-17,1.69061587936689E-18
1000.81620857064,9.54853036843538E-17,2.06610489747716E-18
1000.98835610963,1.36701566192632E-16,2.22812504004693E-18
1001.1644879478,1.22665479338913E-16,2.15105747407428E-18
1001.32789938853,1.03263655570464E-16,2.15558831483965E-18
1001.49310976914,6.29473766536955E-17,1.85609628858117E-18
1001.66459469818,3.85929694577138E-17,1.83593146964141E-18
1001.8235427739,6.44040523106532E-17,1.87048065668853E-18
1001.98967886837,9.70749163852502E-17,2.12613066194963E-18
1002.1589030266,1.08399889472976E-16,2.04787096890775E-18
1002.34238577558,6.08935206165337E-17,1.85867187852939E-18
1002.50247380294,1.15085210103337E-17,1.65921217852971E-18
1002.65649061826,2.49689714597265E-17,1.67534370910404E-18
1002.82007256306,2.34218151836692E-17,1.67181354302937E-18
1002.99019004881,9.37905376859986E-17,1.96847172228387E-18
1003.16992399539,7.05483340645232E-17,1.9355495643402E-18
1003.33368980341,1.04724251353659E-17,1.53227632163835E-18
1003.82916579458,1.00661720677073E-17,1.61283717632833E-18
1004.68109275315,1.21084913722318E-17,1.65608927514888E-18
1004.83533928472,2.15236715995249E-17,1.74188935127252E-18
1005.00362368539,5.75186472281167E-17,1.96140854116831E-18
1005.17427250828,1.88222663911058E-17,1.65294902425864E-18
1005.49694571406,1.17662567546332E-17,1.65964276888342E-18
1005.66752128275,7.8477084759467E-17,2.00984035811486E-18
1005.84666309861,1.18036222054089E-16,2.28840902739735E-18
1006.0163469758,1.76720422404137E-17,1.69664529118325E-18
1006.67061996085,2.90103628989334E-17,1.7891983632543E-18
1006.85008146598,6.64959270287948E-17,1.94820637983233E-18
1007.02046545879,6.32180729331869E-17,2.04450254520517E-18
1007.19225794973,4.60942062669134E-17,1.82558681018263E-18
1007.35485912433,9.64204535912691E-18,1.70026308443641E-18
1007.51220408639,7.00217641377697E-17,1.98667828605625E-18
1007.69709602918,7.11995349347078E-17,2.12543607942518E-18
1007.85294887491,5.8682906078319E-17,1.93436784240843E-18
1008.02806498152,1.18475871319275E-16,2.40350133682359E-18
1008.19772908974,5.75583103935204E-17,1.92511246909411E-18
1008.37216826618,2.08957673479508E-17,1.7626259632509E-18
1008.6986027548,8.41411222789215E-18,1.63402228038205E-18
1008.86786440914,4.76597265351244E-17,1.98320020199759E-18
1009.03377651856,8.17629659282688E-17,2.08881100224013E-18
1009.20076824906,8.24642458548045E-17,2.20372514719791E-18
1009.36841860292,6.9698452988789E-17,2.02720610991723E-18
1009.54858209058,5.50581288911044E-17,1.94949868371358E-18
1009.71763259185,5.58242297840228E-17,2.0904416712746E-18
1009.88461889937,3.76773502190309E-17,1.87295229334433E-18
1010.05185225492,2.45261263120755E-17,1.85680392897161E-18
1010.55098326354,2.16108424597372E-17,1.7767828214129E-18
1010.716727883,4.07268057586678E-17,1.97870092540891E-18
1010.88204454976,2.78546823114842E-17,1.80623211186971E-18
1011.05529591271,5.3768799156782E-17,2.10348690411564E-18
1011.22593556231,2.85634893641567E-17,1.83722808790987E-18
1011.39245086417,1.39593297132577E-17,1.80382212219188E-18
1011.56111248936,6.01518058539396E-17,2.22489713000705E-18
1011.7352143734,9.66341936101038E-17,2.23815880156667E-18
1011.90287578292,1.26999435191226E-17,1.91044344372834E-18
1012.91591998173,2.67342588730548E-17,1.84636478460806E-18
1013.08393232567,1.7924012380165E-17,1.91998992916379E-18
1013.25642002647,3.96095168310668E-17,1.98566801169433E-18
1013.42387129091,2.53786033438951E-17,2.00013745027971E-18
1013.93214293516,9.3341042374379E-18,1.86529655280954E-18
1014.60095841906,1.07865429535596E-17,1.80225195076341E-18
1021.74307403211,1.03388758446353E-17,1.74199609605692E-18
1023.61542336244,1.01847082509851E-17,1.81731360259993E-18
1023.7858974515,8.55581770597194E-18,1.68053826127292E-18
1024.63712048074,1.17386094036532E-17,1.64907795801649E-18
1024.80555374369,8.86275738022507E-18,1.74076783406472E-18
1025.664297055,1.17585239298757E-17,1.63045237842062E-18
1026.86106998886,1.02481934172372E-17,1.63346038744765E-18
1027.0342941047,1.96893817411414E-17,1.58549357981221E-18
1027.20369406602,4.08486589401546E-17,1.82815226042894E-18
1027.36822402743,1.22387590346749E-16,2.15023461787904E-18
1027.55189965617,1.68923702360267E-16,2.32121816223914E-18
1027.72111118365,1.51445953124093E-16,2.31313051365538E-18
1027.89345747575,1.57293430738697E-16,2.26287420834563E-18
1028.06277288199,1.81976045527407E-16,2.44406481782836E-18
1028.23536988394,1.90356590597771E-16,2.37156648143363E-18
1028.40658946053,1.12928041548806E-16,2.1655647804987E-18
1028.57684082834,2.43214557502706E-17,1.53648716036708E-18
1028.74279727985,8.16993645568364E-18,1.5441604864593E-18
1028.91921111694,4.01840732772092E-17,1.67499838796442E-18
1029.0837155364,2.96904973959979E-17,1.66151960172734E-18
1029.25953366075,2.47561149634657E-17,1.5405262108465E-18
1029.43825400108,1.40478080147649E-17,1.43777562547793E-18
1029.76587890906,3.74635539046088E-17,1.5850310805483E-18
1029.95397394688,3.52647455508893E-17,1.74004096980454E-18
1030.28132458667,5.42872015861782E-17,1.75689963911801E-18
1030.46101705065,6.19824741892681E-17,1.75631416717443E-18
1030.62924602543,1.40880154250519E-16,2.14327015431044E-18
1030.81240135313,1.93389724399304E-16,2.49721026671439E-18
1030.98686039374,1.19293029272888E-16,2.10465821235018E-18
1031.1577826335,4.09246209350237E-17,1.80105342482461E-18
1031.32244739061,8.78822886883626E-18,1.47533196642554E-18
1031.49809511288,1.57315526056549E-17,1.55635165167316E-18
1031.661192373,5.07013252189845E-17,1.62693905574716E-18
1031.84274575351,1.38961117246958E-16,2.11591673505559E-18
1032.02347075011,8.88536354927187E-17,1.96860822789772E-18
1032.18367266899,4.24239606589809E-17,1.59320293738947E-18
1032.35160936007,1.3622620828264E-16,2.23166189849956E-18
1032.53219713348,1.79193031537289E-16,2.15012605207268E-18
1032.69976958477,1.70562012504266E-16,2.35671310890768E-18
1032.87460181601,1.92085976154169E-16,2.18997247371232E-18
1033.04817770001,1.76602306349055E-16,2.38122169801748E-18
1033.22032721393,1.22603782905733E-16,1.96456686008888E-18
1033.38437861013,1.14117289856068E-16,2.02245175627331E-18
1033.5581089019,1.75136383096128E-16,2.19271316593382E-18
1033.73557349111,1.44162541079038E-16,2.18357361427829E-18
1033.90134866179,5.78085597065014E-17,1.67163599560683E-18
1034.07550684175,1.01543678120157E-16,1.81793403605926E-18
1034.25846897245,1.58377812328996E-16,2.16279636307249E-18
1034.43215812149,1.6843901182678E-16,2.22991851986948E-18
1034.6016866317,1.48826144303842E-16,2.27460991545854E-18
1034.77776527128,1.51642903965762E-16,2.28450655893155E-18
1035.13450139832,1.86928535175705E-16,2.87227354849361E-18
1035.29613808419,1.86649054108493E-16,2.17813925826153E-18
1035.46709594205,1.6428172998355E-16,2.30709661576151E-18
1035.62571338813,1.60057131742834E-16,2.17310898573884E-18
1035.7993483726,1.63809890831741E-16,2.27301773163826E-18
1035.96905045023,1.19371559585099E-16,2.24307087810509E-18
1036.16955754469,1.48733037381117E-16,2.40821202928714E-18
1036.33244869974,1.26557485959177E-16,2.04593374388798E-18
1036.4896013321,7.12107724462279E-17,1.82468028455987E-18
1036.66122391847,1.2918434310391E-16,1.98670888973315E-18
1036.84218714967,1.60481785146731E-16,2.07506737159675E-18
1037.01741770863,1.73053891436497E-16,2.33571498032769E-18
1037.18987687147,1.36850915296005E-16,1.99144247796418E-18
1037.36110072422,1.66461694369489E-16,2.26358563378514E-18
1037.53346054936,1.67857938442936E-16,2.23382767710448E-18
1037.71185733703,1.77806175490836E-16,2.1490639747805E-18
1037.88866904544,1.70100611576774E-16,2.30375891078331E-18
1038.06770388008,1.24108493907119E-16,2.02191358600046E-18
1038.22746516438,1.23774251988883E-16,2.077351154325E-18
1038.40664932139,1.64738663317041E-16,2.11313277197985E-18
1038.5766391152,1.5505794521785E-16,2.23780646616718E-18
1038.74633381589,1.88488436202709E-16,2.2383758904744E-18
1038.92265890049,1.6958356165718E-16,2.2317837995669E-18
1039.0973167247,1.34338922967817E-16,1.98688915816623E-18
1039.27730636163,1.47858483468128E-16,2.07229925478131E-18
1039.44918454856,9.77906914519923E-17,2.22224593557354E-18
1039.9554838487,3.41130890822822E-17,1.50470363562684E-18
1040.12917858781,1.20723814949868E-16,2.116499455573E-18
1040.3063798607,1.44767829853482E-16,2.03135250551892E-18
1040.48954677275,1.01578016702676E-16,1.98902587935244E-18
1040.65963318951,2.04666010496878E-17,1.46931174274911E-18
1040.98852205063,1.40229658562991E-17,1.44993860879646E-18
1041.17469812327,6.47874842306894E-17,1.77464166588403E-18
1041.34934108156,1.42034251518097E-16,2.14952142821017E-18
1041.52650629031,1.56042718645097E-16,2.1071267772175E-18
1041.69501482206,1.65770705062267E-16,2.303846283427E-18
1041.86950826015,1.78872127662732E-16,2.19575488883558E-18
1042.04298668321,1.80911847956407E-16,2.27927841365012E-18
1042.22262585931,1.24694836619894E-16,1.95226825104601E-18
1042.39212835146,1.46946226451066E-16,2.11965440052952E-18
1042.749182233,1.51515750123163E-16,2.08500775133449E-18
1042.92316606812,4.87989101488575E-17,1.69626376281307E-18
1043.084759992,6.58285381923192E-18,1.3098139433325E-18
1043.25843499789,1.0880555138423E-16,2.04981244150838E-18
1043.43865285988,1.30294202886932E-16,1.96124565031096E-18
1043.61274172976,7.56359206438087E-17,1.80223745775517E-18
1043.77932039957,1.32081677335285E-16,2.04090204223389E-18
1043.9621078126,1.61907811852556E-16,2.1248484399737E-18
1044.1399885364,1.44153695944819E-16,2.13187710493029E-18
1044.30344589918,1.3748924119085E-16,2.13636744961291E-18
1044.48328408469,7.6179663809169E-17,1.72331835304034E-18
1044.65047487163,9.57449277493117E-17,1.84271328128285E-18
1044.82726414007,1.34994181468925E-16,2.17705575094373E-18
1045.00702483319,8.71662014552929E-17,1.792823557413E-18
1045.17436553928,1.20998341581512E-16,2.04275012869201E-18
1045.36097372297,1.94103386753754E-17,1.35181896070336E-18
1045.69252259915,6.45105647354838E-18,1.27176338735912E-18
1045.88138748112,9.13924087399898E-18,1.33006788798799E-18
1046.04476719891,7.41459457239914E-18,1.43983114931918E-18
1046.22116850332,3.3047781164724E-17,1.67589174444817E-18
1046.39708384667,7.55218124346428E-17,1.77579837625374E-18
1046.57507161613,6.01465763363282E-17,1.62538914637816E-18
1046.74178541721,7.91791349116736E-17,1.79457181568658E-18
1046.92218391166,6.83511857924336E-17,1.65592227141536E-18
1047.10260450926,2.4561638361191E-17,1.46620917847679E-18
1047.62022052975,2.69044090903289E-17,1.51967716246933E-18
1047.80137903944,1.38645231842642E-17,1.28467316217817E-18
1047.97017774693,2.16609660678616E-17,1.46900625121238E-18
1048.14992332723,7.41245737276836E-18,1.28825692520478E-18
1049.19365005051,5.2085866644039E-17,1.6928794962172E-18
1049.36578507792,9.79686060304559E-17,1.76243365588083E-18
1049.54631005055,7.48804511899334E-17,1.75599733550158E-18
1049.723655769,4.14155603672231E-17,1.44781656214794E-18
1049.8904957403,5.14051098126597E-17,1.58394312455573E-18
1050.06678720277,7.98460856018732E-17,1.69845379430936E-18
1050.24856580743,5.16895578488468E-17,1.56512768097926E-18
1050.42393886412,7.98152087199389E-17,1.84537046405545E-18
1050.60294809226,7.2127560572689E-17,1.62877373251139E-18
1050.76920727511,3.64819349607646E-17,1.51079294460765E-18
1050.94359743988,8.81384210875606E-17,1.70880246614681E-18
1051.13048433171,1.0111717539885E-16,1.75823904661451E-18
1051.30868460116,7.93131058894127E-17,1.69909110573721E-18
1051.47617264682,3.28140452783535E-17,1.50285982939625E-18
1051.64344135117,8.44019165011555E-18,1.25033356953767E-18
1051.98454930642,2.46643583848456E-17,1.38906128202998E-18
1052.17844480897,4.40866065335128E-17,1.47063503531267E-18
1052.34792683617,3.10876027669223E-17,1.50059719310825E-18
1052.53155945352,9.57613249753015E-18,1.26222246797422E-18
1052.70882358724,7.5374662002152E-18,1.3212271685959E-18
1052.87449546686,4.16299626053473E-17,1.53993791631743E-18
1053.05673138536,2.90479642513898E-17,1.4357531458021E-18
1053.21779776447,2.01217950670039E-17,1.34453368833897E-18
1053.3983810008,7.60437968385039E-17,1.64004180078708E-18
1053.58112501365,1.16759388159946E-16,1.90090560447129E-18
1053.76225193014,6.95390699392347E-17,1.59392268990346E-18
1053.92963687042,7.94041102437533E-17,1.77949260284155E-18
1054.11176249587,4.61745869173621E-17,1.50976789063731E-18
1054.276916519,9.79954813056089E-18,1.35699471250305E-18
1054.80489607721,7.96075866096555E-18,1.31251477504291E-18
1054.97691069207,1.50249164942252E-17,1.35195100924199E-18
1055.16626907812,2.10282965777287E-17,1.44857193638151E-18
1055.34067201277,4.82860550262957E-17,1.48850536120103E-18
1055.51616947406,2.17770583777509E-17,1.41404589494394E-18
1055.68393844955,7.87436152754845E-17,1.67399362915941E-18
1055.87250567345,1.23100717107824E-16,1.84864472033366E-18
1056.0446952342,9.60003622946673E-17,1.81752283257785E-18
1056.22059568672,9.14258044268289E-17,1.75667688446326E-18
1056.40078076017,7.97228975733515E-17,1.80368065148145E-18
1056.57321386036,3.76029682846465E-17,1.54519454318491E-18
1056.73930667917,2.40749525330936E-17,1.36696945424728E-18
1056.92640740805,2.19629801415761E-17,1.47763731334062E-18
1057.09257289651,2.62603331409541E-17,1.38064144775744E-18
1057.28013151014,5.94335353359013E-17,1.65035552261739E-18
1057.4509873877,3.35605440036868E-17,1.41065653179134E-18
1057.63153310053,8.23376001414341E-17,1.78017463452865E-18
1057.81055376162,6.51427233577363E-17,1.58246286501544E-18
1057.98617786469,6.68093177682345E-17,1.68224382154378E-18
1058.15954813036,1.43074426817031E-17,1.31957037930787E-18
1058.49680545152,3.86854064099369E-17,1.50323824502385E-18
1058.6933986781,4.09660024023877E-17,1.42322577464311E-18
1059.39764547472,2.166466824599E-17,1.33215881047708E-18
1060.61699045226,3.0864829807195E-17,1.42732272796919E-18
1060.8048817059,7.97883733186841E-17,1.60140634785581E-18
1060.98567136481,4.54920452242526E-17,1.45671101675078E-18
1061.1664817803,2.08615274412317E-17,1.26734039539583E-18
1061.5128666555,8.43590377428895E-18,1.17783063250821E-18
1061.68568407717,3.86307900731748E-17,1.36796422374178E-18
1061.87298085723,7.88765889357818E-17,1.66978400640477E-18
1062.05201598743,2.5895734169926E-17,1.27427085726629E-18
1062.2237208694,2.96811547646557E-17,1.30431701195828E-18
1062.40694454602,1.55834635779884E-17,1.26295245154202E-18
1062.56775201458,2.97837088748006E-17,1.32640044773877E-18
1062.74762483416,4.93003748404078E-17,1.40794943432112E-18
1062.9314397888,8.86117147131564E-17,1.602324529824E-18
1063.11089513387,9.51754005541818E-17,1.71874157626745E-18
1063.29294044054,5.37991461738672E-17,1.38555984069897E-18
1063.46093011148,5.02960276703419E-17,1.49170165375291E-18
1063.63618571617,8.74945274466924E-17,1.57638401928174E-18
1063.81837895125,1.01946159712084E-16,1.67026878552695E-18
1063.99363801845,9.80823436579116E-17,1.6039743448282E-18
1064.17846491397,1.09385201841519E-16,1.64291808609909E-18
1064.35877900319,5.03671148799194E-17,1.41635807851561E-18
1064.52682774637,8.97154686353877E-17,1.56879526314507E-18
1064.70577405987,1.15941133919059E-16,1.78749185880416E-18
1064.88185908077,1.13527498131265E-16,1.62562719276132E-18
1065.05885231887,1.2019278399194E-16,1.79279993816003E-18
1065.23934844363,1.16461648864515E-16,1.63530389029721E-18
1065.42700156983,8.5770024406139E-17,1.51766827876443E-18
1065.6010246091,6.78422783896397E-17,1.49063785427651E-18
1065.77677243808,1.01927314744812E-16,1.57757361909602E-18
1065.95134043736,8.94754513066885E-17,1.64608415346772E-18
1066.12812346171,7.4951509425935E-17,1.43550983844309E-18
1066.31505182443,2.46233944577651E-17,1.22675038828035E-18
1066.47606098579,1.80292499116551E-17,1.15742140975219E-18
1066.65005249557,1.03619193420717E-16,1.69967360865905E-18
1066.83937566617,1.17829368517945E-16,1.57839149985582E-18
1067.01792312332,1.06587641541511E-16,1.70396196782453E-18
1067.19044561663,1.07442467455486E-16,1.62025990828516E-18
1067.38841614803,2.94553151302676E-17,1.19121698328008E-18
1067.72754480944,2.67475585540972E-17,1.21047385446076E-18
1067.89955749723,7.51317786200752E-17,1.51351833192545E-18
1068.08821290489,1.0827483525932E-16,1.5467303305392E-18
1068.27584906556,7.87517715238025E-17,1.46356115924546E-18
1068.45770402563,1.07350363643911E-17,1.08777688996817E-18
1068.78765580081,6.24489503014086E-18,1.05877887335308E-18
1068.96687175196,2.15159553411335E-17,1.1579102668929E-18
1069.1551202336,8.8735353789912E-18,1.06144319077124E-18
1069.32909060419,7.74569480685641E-18,1.02102581457896E-18
1070.04058679385,2.06726488158832E-17,1.13879400006314E-18
1070.22401884131,1.84774303701743E-17,1.1145342806129E-18
1070.40423612449,7.96195612366911E-18,1.05165511120141E-18
1070.5773593646,2.83950067949882E-17,1.165391569221E-18
1070.7615219393,7.73006157870062E-17,1.49956651892539E-18
1070.94183241195,4.84245132015835E-17,1.30369964442768E-18
1071.12326830144,1.99628926052099E-17,1.13626884159963E-18
1071.28803904747,8.03543184911822E-18,1.04599328406371E-18
1071.46642432954,4.96113963750283E-17,1.31256307967358E-18
1071.6443609459,7.20986975749584E-17,1.4249991404481E-18
1071.82565476146,1.10512653563477E-16,1.62692889228508E-18
1072.01147861482,9.71893487905367E-17,1.51115140080823E-18
1072.19783172875,7.93077844020734E-17,1.41923113175079E-18
1072.38272667025,4.11106071381107E-17,1.24528600289019E-18
1072.90432951016,6.0616618065806E-18,9.95802699741594E-19
1073.2654026042,5.96973457311333E-18,1.03541071291564E-18
1073.43531118726,3.15694389246613E-17,1.19127154696212E-18
